Name,Age,Gender,Smoker,
Al Zehtooney,33,male,no
Brad York,38,male,yes
Charles Xavier,32,male,no
David Willimas,33,male,no
Edward Ulster,33,male,yes
Frank Townsend,35,male,no
Greg Sutter,40,male,no
Harry Rogers,37,male,no
John Quincy,43,male,yes
Kent Peterson,31,male,no
Larry Newell,23,male,no
Max Milton,22,male,no
Norman Lamagna,30,male,no
Ollie Kensinton,44,male,no
John Frank,24,male,no
Mary Williams,33,female,no
Jane Frank,38,female,yes
Jo Peterson,32,female,no
Angie Frost,33,female,no
Betty Bates,33,female,no
Connie Date,35,female,no
Donna Finster,20,female,no
Esther Gates,37,female,no
Fanny Hill,33,female,yes
Geta Iota,27,female,no
Hillary Johnson,22,female,no
Ingrid Kent,21,female,no
Jill Larson,20,female,no
Kim Mulrooney,41,female,no
Lisa Nevins,21,female,no
